	UNITID	INSTNM	CITY	STABBR	ZIP	ADM_RATE	UGDS	TUITIONFEE_IN	MN_EARN_WNE_P10
643	131159	American University	Washington	DC	20016-8001	0.294	7433.0	46615.0	
644	131283	The Catholic University of America	Washington	DC	20064	0.8258	3284.0	44060.0	
645	131399	University of the District of Columbia	Washington	DC	20008		3606.0	5756.0	
646	131405	Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies	Washington	DC	20017-1585				
647	131450	Gallaudet University	Washington	DC	20002-3695	0.5901	1111.0	16558.0	
648	131469	George Washington University	Washington	DC	20052	0.4098	11718.0	53518.0	
649	131496	Georgetown University	Washington	DC	20057-0001	0.1568	7128.0	52300.0	
650	131520	Howard University	Washington	DC	20059-0001	0.4142	6276.0	25697.0	
651	131803	Strayer University-District of Columbia	Washington	DC	20005		687.0	13857.0	
652	131830	National Conservatory of Dramatic Arts	Washington	DC	20007	1.0	32.0	9900.0	
653	131876	Trinity Washington University	Washington	DC	20017-1094	0.9228	1498.0	23690.0	
654	131973	Wesley Theological Seminary	Washington	DC	20016-5690				
1451	161855	Baltimore Studio of Hair Design	Baltimore	MD	21201-3444		46.0		
1452	161864	Baltimore City Community College	Baltimore	MD	21215-7893		3797.0	3074.0	
1453	161873	University of Baltimore	Baltimore	MD	21201-5720	0.8099	2856.0	8824.0	
1460	162283	Coppin State University	Baltimore	MD	21216-3698	0.3651	2459.0	7474.0	
1462	162371	North American Trade Schools	Baltimore	MD	21244		448.0		
1466	162654	Goucher College	Baltimore	MD	21204-2794	0.7884	1526.0	43440.0	
1473	162928	Johns Hopkins University	Baltimore	MD	21218-2688	0.1254	5663.0	52170.0	
1475	163046	Loyola University Maryland	Baltimore	MD	21210-2699	0.7528	3903.0	47560.0	
1477	163259	University of Maryland Baltimore	Baltimore	MD	21201-1627		918.0		
1478	163268	University of Maryland-Baltimore County	Baltimore	MD	21250	0.6021	11130.0	11518.0	
1480	163295	Maryland Institute College of Art	Baltimore	MD	21217-4134	0.6161	1743.0	46990.0	
1485	163453	Morgan State University	Baltimore	MD	21251-0001	0.6372	6426.0	7766.0	
1487	163532	Ner Israel Rabbinical College	Baltimore	MD	21208	0.6418	265.0	11900.0	
1489	163578	Notre Dame of Maryland University	Baltimore	MD	21210-2476	0.7140000000000001	808.0	36070.0	
1491	163736	Brightwood College-Baltimore	Baltimore	MD	21227-1063		452.0		
1493	163815	Maryland Beauty Academy of Essex	Baltimore	MD	21224		80.0		
1775	173993	Mesabi Range College	Virginia	MN	55792		724.0	5329.0	
1888	177436	Four Rivers Career Center	Washington	MO	63090-4235		33.0	14441.0	
2475	197966	Beaufort County Community College	Washington	NC	27889		1390.0	2518.0	
2724	203997	Methodist Theological School in Ohio	Delaware	OH	43015-3211				
2768	204909	Ohio Wesleyan University	Delaware	OH	43015-2370	0.7139	1549.0	44690.0	
3004	212452	Faith Theological Seminary	Baltimore	MD	21212-2624	1.0	66.0	5870.0	
3101	214892	Penn Commercial Business/Technical School	Washington	PA	15301-6822	0.9539	225.0	20000.0	
3172	216630	Washington Hospital School of Nursing	Washington	PA	15301		49.0		
3173	216649	Washington Hospital School of Radiologic Technology	Washington	PA	15301		13.0	11600.0	
3174	216667	Washington & Jefferson College	Washington	PA	15301	0.4785	1378.0	46628.0	
3996	245625	Warren County Community College	Washington	NJ	07882-4343		1113.0	4590.0	
4100	363721	University of the District of Columbia-David A Clarke School of Law	Washington	DC	20008				
4225	373784	All-State Career-Baltimore	Baltimore	MD	21224		561.0		
4348	384412	University of the Potomac-Washington DC Campus	Washington	DC	20005		65.0	13884.0	
4616	420370	Career Technical Institute	Washington	DC	20005		387.0		
4762	434672	Community College of Baltimore County	Baltimore	MD	21237		17614.0	4022.0	
4844	439473	Bennett Career Institute	Washington	DC	20017		312.0		
5079	444893	Technical Learning Centers Inc	Washington	DC	20006-5540		172.0		
5314	450076	Fortis Institute-Baltimore	Baltimore	MD	21244		87.0		
5328	450483	University of Phoenix-Washington DC	Washington	DC	20001-1431		70.0	9960.0	
5520	455804	Institute of World Politics	Washington	DC	20036				
5521	455813	Pontifical John Paul II Institute for Studies on Marriage and Family	Washington	DC	20064				
5739	459745	The Chicago School of Professional Psychology at Washington DC	Washington	DC	20005				
5747	459994	Strayer University-Global Region	Washington	DC	20005		5543.0	13857.0	
5834	461379	Holistic Massage Training Institute	Baltimore	MD	21218		59.0		
6016	476601	Bais HaMedrash and Mesivta of Baltimore	Baltimore	MD	21209-1613	1.0	76.0	12700.0	
6727	13180301	Strayer University-Takoma Park Campus	Washington	DC	20012			13857.0	
7006	43018403	Strayer University-White Marsh Campus	Baltimore	MD	21236			13857.0	
7094	47503313	Relay Graduate School of Education - Washington D.C	Washington	DC	20002				
